Place Name,Address,City,Zip,State,Place ID,Longitude,Latitude,Status,Last Contacted,Contact Name,Email/Contact,Phone Number,Booking Contact,Contact Type,Priority,Next Follow Up,Past Gigs,Future Gigs,Last Played,Next Booked,Past Gig Count,Future Gig Count,Total Gig Count,Last Synced,Venue Type,Website,Notes
Burntwood Tavern,33675 Solon Rd,Solon,44139,OH,burntwood-tavern-solon-oh-44139,-81.439779,41.390657,Played in the Past,,,,,,,2,,2024-10-13; 2024-11-17,,Sun Nov 17 2024 00:00:00 GMT-0500 (Eastern Standard Time),,2,0,2,Fri May 08 2026 00:58:22 GMT-0400 (Eastern Daylight Time),Pub/Bar,,
Burntwood Tavern,3750 W Market St,Fairlawn,44333,OH,burntwood-tavern-fairlawn-oh-44333,-81.634268,41.135767,Needs Review,,,,,,,2,,,,,,,,,,Pub/Bar,,
Burntwood Tavern,4320 Everhard Rd NW,Canton,44718,OH,burntwood-tavern-canton-oh-44718,-81.428679,40.859136,Needs Review,,,,,,,2,,,,,,,,,,Pub/Bar,,
Burntwood Tavern,504 E Washington St,Chagrin Falls,44022,OH,burntwood-tavern-chagrin-falls-oh-44022,-81.375852,41.427653,Needs Review,,,,,,,2,,,,,,,,,,Pub/Bar,,
Burntwood Tavern,5600 Great Northern Blvd,North Olmsted,44070,OH,burntwood-tavern-north-olmsted-oh-44070,-81.903109,41.406236,Not Contacted Yet,,Sarah Sapp manager,,,,,2,,,,,,,,,,Pub/Bar,,
Burntwood Tavern,5835 Landerbrook Dr,Lyndhurst,44124,OH,burntwood-tavern-lyndhurst-oh-44124,-81.470902,41.501323,Needs Review,,,,,,,2,,,,,,,,,,Pub/Bar,,
Burntwood Tavern,8188 Brecksville Rd,Brecksville,44141,OH,burntwood-tavern-brecksville-oh-44141,-81.627576,41.339045,Told No / Closed / No Music,,,,,,,2,,,,,,,,,,Pub/Bar,,Previous CRM status: Closed and Not Booking
Camp Runinmuck,8786 N Shore Blvd,Lakeside Marblehead,43440,OH,camp-runinmuck-lakeside-marblehead-oh-43440,-82.766835,41.538898,Not Contacted Yet,5/25/2024,Michelle and sara,,,,,,,,,,,,,,,Other Venue,,
Carovillese Lodge & Club,570 E Cuyahoga Falls Ave,Akron,44310,OH,carovillese-lodge-and-club-akron-oh-44310,-81.498765,41.113644,Needs Review,,,,330-929-6767,,,,,,,,,,,,,Other Venue,,
Carpe Raci Italian Restaurant & Wine Bar,8903 Brecksville Rd,Brecksville,44141,OH,carpe-raci-italian-restaurant-and-wine-bar-brecksville-oh-44141,-81.626772,41.319826,Needs Review,Fri Jan 05 2024 00:00:00 GMT-0500 (Eastern Standard Time),,,440-526-8100,,FB/. Stop card,2,,,,,,,,2,2026-05-07T04:36:16.000Z,Winery,,
Carso Rosso Winery,19583 Hunt Rd,Strongsville,44136,OH,carso-rosso-winery-strongsville-oh-44136,-81.788181,41.278738,Played in the Past,Tue Apr 09 2024 00:00:00 GMT-0400 (Eastern Daylight Time),adam,carsorossowinery@gmail.com,440-879-1099,,email,1,,2026-02-07; 2026-02-07 5:00pm ET | COMPLETED | Carso Rosso Winery | 63n85a4q4sv4smdllsfe9lumer@google.com; 2026-05-01; 2026-05-01 5:00pm ET | COMPLETED | Carso Rosso Winery | 6g6uh6se43trjafteianlklgqh@google.com,,2026-05-01 5:00pm ET | COMPLETED | Carso Rosso Winery | 6g6uh6se43trjafteianlklgqh@google.com,,4,0,4,Fri May 08 2026 00:58:22 GMT-0400 (Eastern Daylight Time),Winery,216-789-1828,
Cask 307,7259 Warner Rd,Madison,44057,OH,cask-307-madison-oh-44057,-81.02593,41.757066,Not Contacted Yet,Fri Aug 08 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Donna,,440-307-9586,,,,,,,,,,,,,Other Venue,,
Castaway Craig's Pub & Grub,2114 Grandview Rd,Lake Milton,44429,OH,castaway-craig-s-pub-and-grub-lake-milton-oh-44429,-80.981469,41.121177,Booked,10/23/24,Lex,Sales@CastawayCraigs.com,330-557-9005,,I'm,3,,2025-06-14; 2025-06-14 2:00pm ET | COMPLETED | Castaway Craigs - Lake Milton | 853B6E99-8BA3-4C49-A5FF-88AAA1E5EB56; 2025-07-19; 2025-07-19 2:00pm ET | COMPLETED | Castaway Craigs - Lake Milton | 87F5FE47-60DE-4BD2-9BFE-F20F09B2DA19; 2025-09-20 | COMPLETED | JustDeeDeeMusic Live @ Castaway Craig's | 2114 Grandview Rd; Lake Milton; OH 44429 | historical-2025-09-20-castaway-craigs-justdeedeemusic-live-castaway-craigs-127,2026-05-30; 2026-05-30 2:00pm ET | BOOKED | Castaway Craigs - Lake Milton | 25vo7mh21ckba1muv2bfto0had@google.com; 2026-08-02; 2026-08-02 2:00pm ET | BOOKED | Castaway Craigs - Lake Milton | 288B1C09-705C-4C4F-92AA-32A5EB5CC7FC,OH 44429 | historical-2025-09-20-castaway-craigs-justdeedeemusic-live-castaway-craigs-127,Sat May 30 2026 00:00:00 GMT-0400 (Eastern Daylight Time),7,4,11,Fri May 08 2026 00:58:22 GMT-0400 (Eastern Daylight Time),Pub/Bar,https://www.castawaycraigs.com,
Caston & Main Brew Yard,5010 S Main St,Akron,44319,OH,caston-and-main-brew-yard-akron-oh-44319,-81.533754,40.952848,Played in the Past,05/19/2024,Jess,Info@castonbrewyard.com,330-882-2275,,,1,,2024-05-22 | COMPLETED | JustDeeDeeMusic Live @ Caston & Main Brew Yard | 5010 S Main St; 2024-09-11 | COMPLETED | JustDeeDeeMusic Live @ Caston & Main Brew Yard | 5010 S Main St; Akron; OH 44319 | historical-2024-05-22-caston-main-brew-yard-justdeedeemusic-live-caston-main-brew-yard-23; OH 44319 | historical-2024-09-11-caston-main-brew-yard-justdeedeemusic-live-caston-main-brew-yard-50,,Wed Sep 11 2024 00:00:00 GMT-0400 (Eastern Daylight Time),,2,,2,2026-05-08T02:35:41.539Z,Brewery,,
Cataways River Tiki Bar,224 E Island Dr,Eastlake,44095,OH,cataways-river-tiki-bar-eastlake-oh-44095,-81.428984,41.67364,Told No / Closed / No Music,02/20/2025,Mary,440-510-8508,,,,,,,,,,,,,,Pub/Bar,,Previous CRM status: Closed and Not Booking
CBG Falls - Chestnut Beer Garden,503 Chestnut Blvd,Cuyahoga Falls,44221,OH,cbg-falls-chestnut-beer-garden-cuyahoga-falls-oh-44221,-81.489633,41.129167,Not Contacted Yet,Fri Aug 08 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Jess at the Jenks,bookingcbgfalls@gmail.com,234-900-6170,,,,,,,,,,,,,Other Venue,,
Chagrin Tavern,196 E Island Dr,Eastlake,44095,OH,chagrin-tavern-eastlake-oh-44095,-81.429322,41.673974,Not Contacted Yet,09/19/2024,Chris / after 8:00,,440/540-4199,,,,,,,,,,,,,Pub/Bar,,
CharBenay's Wine on the River,220 W Market St,Warren,44481,OH,charbenay-s-wine-on-the-river-warren-oh-44481,-80.821404,41.236125,Needs Review,,,,234-806-4913,,,3,,,,,,,,,,Winery,http://www.charbenays.com/,
CharBenay's Wine on the River,220 W Market St,Warren,44481,OH,charbenay-s-wine-on-the-river-warren-oh-44481-2,-80.821404,41.236125,Needs Review,,,,234-806-4913,,,,,,,,,,,,,Winery,,
Chart Room,5024 Liberty Ave,Vermilion,44089,OH,chart-room-vermilion-oh-44089,-82.355896,41.422793,Not Contacted Yet,Sun Aug 10 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Danielle,vchartroom@gmail.com,440-637-0518,,spoke to danielle,,,,,,,,,,,Art Gallery,,
Chatty's Tavern,15478 Avon Belden Rd,Grafton,44044,OH,chatty-s-tavern-grafton-oh-44044,-82.022448,41.260575,Not Contacted Yet,04/13/2024,GM  Jessica - Matt Owner,chattysgrafton@gmail.com,440-926-2023,,email/stop,3,,,,,,,,3,2026-05-07T04:36:16.000Z,Pub/Bar,,
Cherry Road Winery,1133 27th St NW,Massillon,44647,OH,cherry-road-winery-massillon-oh-44647,-81.556131,40.80172,Not Contacted Yet,Sun Feb 11 2024 00:00:00 GMT-0500 (Eastern Standard Time),Judy,cherryroadwinery@gmail.com,330-265-5830,,Messenger,4,,,,,,,,3,2026-05-07T04:36:16.000Z,Winery,,
CLAG Brewing Company,218 Columbus Ave,Sandusky,44870,OH,clag-brewing-company-sandusky-oh-44870,-82.711524,41.456,Not Contacted Yet,Sun Aug 10 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Ka said to call 419-202-8199 next week0,,419-502-0099,,,,,,,,,,,,,Brewery,,
Clinton House Restaurant,106 W Perry St,Port Clinton,43452,OH,clinton-house-restaurant-port-clinton-oh-43452,-82.941339,41.513357,Needs Review,5/25/2024,,,,,Caloline/john,,,,,,,,,,,Restaurant,,
Clinton House Restaurant,106 W Perry St,Port Clinton,43452,OH,clinton-house-restaurant-port-clinton-oh-43452-2,-82.941339,41.513357,Needs Review,,,,419-967-9037,,,,,,,,,,,,,Restaurant,,
Cloven Hoof Brewing 1308 Bridge St,Ashtabula,OH 44004,,OH,cloven-hoof-brewing-1308-bridge-st-ashtabula-oh-44004,-80.801648,41.898402,Told No / Closed / No Music,05/28/2024,Ryan,Rsposito@kent.edu,440-536-4344,,Fb/email,3,,,,,,,,3,2026-05-07T04:36:16.000Z,Brewery,http://clovenhoofbrewing.com/,Previous CRM status: Closed and Not Booking
Clubhouse Brady Lake,2036 Walton Rd,Kent,44240,OH,clubhouse-brady-lake-kent-oh-44240,-81.320461,41.167344,Needs Review,,,,330-673-9000,,,,,,,,,,,,,Other Venue,,
Clutch Lane and Sports Center,4190 State Rd,Cuyahoga Falls,44223,OH,clutch-lane-and-sports-center-cuyahoga-falls-oh-44223,-81.508499,41.185463,Needs Review,,,,330-928-3794,,,,,,,,,,,,,Other Venue,,
Coco Cafe,1296 Ridge Rd,Hinckley,44233,OH,coco-cafe-hinckley-oh-44233,-81.74503,41.241374,Needs Review,,,,,,,4,,,,,,,,,,Coffee Shop,https://cococafehinckley.com/,
Coffee Corners Antiques and Coffee House,14544 N Cheshire St,Burton,44021,OH,coffee-corners-antiques-and-coffee-house-burton-oh-44021,-81.145181,41.474072,Needs Review,,,,440-834-0076,,,,,,,,,,,,,Coffee Shop,,
Cole's Public House,209 S Main St,Amherst,44001,OH,cole-s-public-house-amherst-oh-44001,-82.226757,41.398213,Not Contacted Yet,08/27/2025,Jeff or Robbi,Cphteam1@gmail.com,440-984-7432,,,,,,,,,,,,,Pub/Bar,,
"Collision Bend Brewing 1261 Babbitt Road, Euclid Ohio 44123",,,,OH,collision-bend-brewing-1261-babbitt-road-oh,-81.509931,41.590993,Not Contacted Yet,Sun Mar 03 2024 00:00:00 GMT-0500 (Eastern Standard Time),Michael,michaelgrano@collisionbendbrewery.com,216-505-6080.   Cell:216-224-4999,,Fb email,4,,,,,,,,3,2026-05-07T04:36:16.000Z,Brewery,https://www.collisionbendbrewery.com/,
Collision Bend Brewing Company 1250 Old River Road,Cleveland,OH 44113,,OH,collision-bend-brewing-company-1250-old-river-road-cleveland-oh-44113,-81.704033,41.498934,Needs Review,,,,216-273-7879,,,4,,,,,,,,,,Brewery,http://www.collisionbendbrewery.com/,
Cork & Barrel Wine Bar,35800 Detroit Rd,Avon Ohio 44001,,OH,cork-and-barrel-wine-bar-35800-detroit-rd-oh,-82.014904,41.458223,Booked,01/23/2025,Jay Kudla,info@corkandbarrelwinebar.com,440-937-5830,,Email/fb,2,,,,,,,,1,2026-05-07T04:36:16.000Z,Winery,,
Corkscrew Saloon,811 W Liberty St,Medina,44256,OH,corkscrew-saloon-medina-oh-44256,-81.879399,41.139165,Needs Review,,,,330-725-0220,,,,,,,,,,,,,Other Venue,,
Corners Tavern 7990 W 130th St,Strongsville,OH 44136,,OH,corners-tavern-7990-w-130th-st-strongsville-oh-44136,-81.785143,41.350103,Needs Review,Mon Jan 01 2024 00:00:00 GMT-0500 (Eastern Standard Time),,,,,stop,3,,,,,,,,,,Pub/Bar,,
Corp & Cap Bottle Shop & Tasting Room,3225 Elm Rd NE,Warren,44483,OH,corp-and-cap-bottle-shop-and-tasting-room-warren-oh-44483,-80.783276,41.264245,Needs Review,,,,330-372-2337,,,,,,,,,,,,,Other Venue,,
Cove W Winery,820 OH-14,Deerfield,44411,OH,cove-w-winery-deerfield-oh-44411,-81.046769,41.010501,Not Contacted Yet,9/25/2025,Cary send email in Oct.,Covewwinery@gmail.com or facebook,234-320-0103,,Mess.,3,,,,,,,,1,2026-05-07T04:36:16.000Z,Winery,https://covewwinery.com/,
Coyote’s Mexican Grill & Cantina 2500 OH-59 #20,Kent,OH 44240,,OH,coyote-s-mexican-grill-and-cantina-2500-oh-59-20-kent-oh-44240,-81.302995,41.156485,Not Contacted Yet,7/16/2024,Mark,,330-968-3894,,,2,,,,,,,,1,2026-05-07T04:36:16.000Z,Restaurant,http://www.coyotesmexican.com/,
Crafted Artisan Meadery,1292 Waterloo Rd,Mogadore,44260,OH,crafted-artisan-meadery-mogadore-oh-44260,-81.347301,41.023203,Not Contacted Yet,Fri Aug 01 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Laura Straubhaar,Lauren@craftedmead.com,330-628-4444,,,,,,,,,,,,,Art Gallery,http://www.craftedmead.com/,
Crafted Atrisan Meadery,1292 Waterloo Rd,Mogadore,44260,OH,crafted-atrisan-meadery-mogadore-oh-44260,-81.347301,41.023203,Needs Review,,,,330-628-4444,,,,,,,,,,,,,Other Venue,,
"Crocker Park  177 Market St.  Westlake, OH  44145",,,,OH,crocker-park-177-market-st-westlake-oh-44145,-81.951142,41.457415,Booked,7/23/2025,Mora Reynolds,,,,,,,,2026-07-12; 2026-07-12 4:00pm ET | BOOKED | Crocker Park | 2E9A184E-0F73-43C1-892D-7D6CA9C16BB3,,Sun Jul 12 2026 00:00:00 GMT-0400 (Eastern Daylight Time),0,2,2,Fri May 08 2026 00:58:22 GMT-0400 (Eastern Daylight Time),Other Venue,,
Crooked River Wine,544 Pearl Rd,Brunswick,44212,OH,crooked-river-wine-brunswick-oh-44212,-81.84123,41.260503,Needs Review,02/16/2024,,,,,,5,,,,,,,,1,2026-05-07T04:36:16.000Z,Winery,,
Crowing Hen Saloon,4949 Golf Ave,Geneva,44041,OH,crowing-hen-saloon-geneva-oh-44041,-80.952143,41.858901,Told No / Closed / No Music,Sat Mar 08 2025 00:00:00 GMT-0500 (Eastern Standard Time),Kailyn,doing country only next year,440-361-3132,,,,,,,,,,,,,Other Venue,,Previous CRM status: Closed and Not Booking
D & D Smith Winery LLC,401 W Main St,Norwalk,44857,OH,d-and-d-smith-winery-llc-norwalk-oh-44857,-82.643397,41.229022,Not Contacted Yet,04/13/2024,Dani,ddsmithwinery@gmail.com,419-577-0242,,,5,,,,,,,,2,2026-05-07T04:36:16.000Z,Winery,,
D'Agnese's,at White Pond Akron,566 White Pond Dr,,OH,d-agnese-s-akron-oh-44320,-81.586318,41.1022,Booked,01/30/2024,Marci,,234-678-3612,,,5,,2025-05-10; Sat May 10 2025 00:00:00 GMT-0400 (Eastern Daylight Time),2026-07-25; Sat Jul 25 2026 00:00:00 GMT-0400 (Eastern Daylight Time),Sat May 10 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Sat Jul 25 2026 00:00:00 GMT-0400 (Eastern Daylight Time),2,2,4,Fri May 08 2026 00:58:22 GMT-0400 (Eastern Daylight Time),Other Venue,,
Darkroom Brewing Company,32 N Broadway,Geneva,44041,OH,darkroom-brewing-company-geneva-oh-44041,-80.947534,41.805687,Not Contacted Yet,Sat Mar 08 2025 00:00:00 GMT-0500 (Eastern Standard Time),Amanda,amanda@darkroombrewing.com,440-290-6045,,visit,,,,,,,,,1,2026-05-07T04:36:16.000Z,Brewery,,
Das Weinhaus,3232 Erhart Rd,Litchfield,44253,OH,das-weinhaus-litchfield-oh-44253,-81.975319,41.185945,Booked,Sat Mar 02 2024 00:00:00 GMT-0500 (Eastern Standard Time),Heike Gombera,,330-321-4774,,stop,1,,2023-12-16 | COMPLETED | Just Dee Dee Music at Das Weinhaus | Das Weinhaus | historical-2023-12-16-das-weinhaus-just-dee-dee-music-at-das-weinhaus-2; 2024-02-03 | COMPLETED | JDDM Live @ Das Weinhaus | 3232 Erhart Rd; 2024-03-02 | COMPLETED | Just Dee Dee back at Das Weinhaus | 3232 Erhart Road; 2024-04-14 | COMPLETED | JustDeeDeeMuisc Live @ Das Weinhaus | 3232 Erhart Rd; 2024-05-05 | COMPLETED | JustDeeDeeMuisc Live @ Das Weinhaus | 3232 Erhart Rd; 2024-06-16 | COMPLETED | JustDeeDeeMuisc Live @ Das Weinhaus | 3232 Erhart Rd; 2024-07-21 | COMPLETED | JustDeeDeeMuisc Live @ Das Weinhaus | 3232 Erhart Rd; 2024-08-11 | COMPLETED | Just Dee Dee returns to Das Weinhaus with originals & cover! | 3232 Erhart Road; 2024-09-22 | COMPLETED | JustDeeDeeMuisc Live @ Das Weinhaus | 3232 Erhart Rd; 2024-10-12 | COMPLETED | JustDeeDeeMusic Live @ Das Weinhaus | 3232 Erhart Rd; 2024-11-10 | COMPLETED | JustDeeDeeMusic Live @ Das Weinhaus | 3232 Erhart Rd; 2024-12-08 | COMPLETED | Christmas Party with music by Just Dee Dee at Das Weinhaus | 3232 Erhart Road; 2025-01-19; 2025-01-19 2:00pm ET | COMPLETED | Das Weinhaus | 358kf0h8ic47da1a4s9p98htuj@google.com; 2025-02-16; 2025-02-16 2:00pm ET | COMPLETED | Das Weinhaus Open Mic | 5ccdvlh65970f37nt48r3ai93m@google.com; 2025-03-16; 2025-03-16 2:00pm ET | COMPLETED | Das Weinhaus Open Mic | 0hv6ser6ifo3v8h1lakabi9q64@google.com; 2025-04-13; 2025-04-13 2:00pm ET | COMPLETED | Das Weinhaus Open Mic | 5617vb89315ouo2t0dmfs1qo4u@google.com; 2025-04-17 | COMPLETED | Just DeeDee on Sunday; 2025-05-11; 2025-05-11 3:00pm ET | COMPLETED | Das Weinhaus | u0gn6ipd2vmodkhrtibri5lohg@google.com; 2025-05-18; 2025-05-18 2:00pm ET | COMPLETED | Das Weinhaus Open Mic | 3nhvne27dnsrfa05gjsutlfumf@google.com; 2025-06-15; 2025-06-15 3:00pm ET | COMPLETED | Das Weinhaus | hcobekjr7j07kqmptuqga6qisk@google.com; 2025-07-20; 2025-07-20 2:00pm ET | COMPLETED | Das Weinhaus | 1mso4k7smn96mgiub0grd09s5m@google.com; 2025-08-17; 2025-08-17 2:00pm ET | COMPLETED | Das Weinhaus | 6b119g9gsd59rkhsocjdgebck0@google.com; 2025-09-14; 2025-09-14 3:00pm ET | COMPLETED | Das Weinhaus | 06m8rqkg5dife3fsc5alqt9hfk@google.com; 2025-10-19; 2025-10-19 3:00pm ET | COMPLETED | Das Weinhaus Open Mic | 02qd4iqfi0b9umjkluj8i74u3s@google.com; 2025-11-08 | COMPLETED | JustDeeDeeMusic Live @ Das Weinhaus | 3232 Erhart Rd; 2025-11-16; 2025-11-16 3:00pm ET | COMPLETED | Das Weinhaus Open Mic | 34ot58pm6es1ip6lo1tfvq7evt@google.com; 2025-12-21; 2025-12-21 3:00pm ET | COMPLETED | Das Weinhaus Open Mic | 2id16caeph072n4fb6l9ud80pa@google.com; 2026-01-18; 2026-01-18 3:00pm ET | COMPLETED | Das Weinhaus Open Mic | 39ujmnu2cjn64hr61mq35ghfsu@google.com; 2026-01-30; 2026-01-30 6:00pm ET | COMPLETED | JustDeeDeeMusic Live @ Das Weinhaus | 7lg4e16eniakn89dcd08hti8ru@google.com; 2026-02-15; 2026-02-15 3:00pm ET | COMPLETED | Das Weinhaus Open Mic | 5bt3r2gkrea98bkkpadj1jmh95@google.com; 2026-03-15; 2026-03-15 3:00pm ET | COMPLETED | Das Weinhaus Open Mic | 7r4h5c9ep6v5bvv8ops3a9ku6n@google.com; 2026-04-19; 2026-04-19 3:00pm ET | COMPLETED | Das Weinhaus Open Mic | 7rgbf9nmbsrrm5ei6hme33sghg@google.com; 3-6pm | 3232 Erhart Road; Litchfield; May 11; OH; OH 44253 | historical-2024-02-03-das-weinhaus-jddm-live-das-weinhaus-5; OH 44253 | historical-2024-04-14-das-weinhaus-justdeedeemuisc-live-das-weinhaus-12; OH 44253 | historical-2024-05-05-das-weinhaus-justdeedeemuisc-live-das-weinhaus-18; OH 44253 | historical-2024-06-16-das-weinhaus-justdeedeemuisc-live-das-weinhaus-28; OH 44253 | historical-2024-07-21-das-weinhaus-justdeedeemuisc-live-das-weinhaus-32; OH 44253 | historical-2024-09-22-das-weinhaus-justdeedeemuisc-live-das-weinhaus-54; OH 44253 | historical-2024-10-12-das-weinhaus-justdeedeemusic-live-das-weinhaus-59; OH 44253 | historical-2024-11-10-das-weinhaus-justdeedeemusic-live-das-weinhaus-66; OH 44253 | historical-2025-11-08-das-weinhaus-justdeedeemusic-live-das-weinhaus-138; Ohio 44253 | historical-2024-03-02-das-weinhaus-just-dee-dee-back-at-das-weinhaus-8; Ohio 44253 | historical-2024-08-11-das-weinhaus-just-dee-dee-returns-to-das-weinhaus-with-originals-cover-40; Ohio 44253 | historical-2024-12-08-das-weinhaus-christmas-party-with-music-by-just-dee-dee-at-das-weinhaus-71; Ohio 44253 | historical-2025-04-17-das-weinhaus-just-deedee-on-sunday-may-11-3-6pm-89; United States,2026-05-17; 2026-05-17 3:00pm ET | BOOKED | Das Weinhaus Open Mic | 5qvhm4thk3hgivl2b8sj15drej@google.com; 2026-07-19; 2026-07-19 3:00pm ET | BOOKED | Das Weinhaus | 45rv28t5bm1gelgtq31ejr4r3q@google.com; 2026-08-16; 2026-08-16 3:00pm ET | BOOKED | Das Weinhaus | 1japr7ndhb4kvah96lat0bjfg0@google.com; 2026-09-20; 2026-09-20 3:00pm ET | BOOKED | Das Weinhaus | 7gc49jbgduinqom4pu2pvnkrp0@google.com; 2026-10-18; 2026-10-18 3:00pm ET | BOOKED | Das Weinhaus Open Mic | 6ee0t8k3274buihub3msosjlaf@google.com; 2026-11-15; 2026-11-15 3:00pm ET | BOOKED | Das Weinhaus Open Mic | 4p33l7e4rs4ve9t6lqrp30o65t@google.com; 2026-12-20; 2026-12-20 3:00pm ET | BOOKED | Das Weinhaus Open Mic | 7mciku64sqonu2aaojsf7cg8p3@google.com,United States,Sun May 17 2026 00:00:00 GMT-0400 (Eastern Daylight Time),68,14,82,Fri May 08 2026 00:58:22 GMT-0400 (Eastern Daylight Time),Other Venue,,
Dawg House Bar & Grill,114 Antioch Dr,Elyria,44035,OH,dawg-house-bar-and-grill-elyria-oh-44035,-82.078251,41.415873,Needs Review,,,,440-412-3061,,,,,,,,,,,,,Restaurant,,
Day Dream Farm Winery LLC,5703 OH-166,Rock Creek,44084,OH,day-dream-farm-winery-llc-rock-creek-oh-44084,-80.956757,41.661726,Played in the Past,Fri Dec 06 2024 00:00:00 GMT-0500 (Eastern Standard Time),Suzanne,DayDreamFarmWinery@gmail.com,216-403-6218,,,2,,2024-08-17 | COMPLETED | JustDeeDeeMusic Live @ Day Dream Farm Winery | 5703 OH-166; 2025-01-11; 2025-04-18; 2025-05-31; 2025-05-31 1:00pm ET | COMPLETED | Day Dream Farm Winery | 6rid9hbi8eoa20k8hu2ijs2hte@google.com; 2025-11-28; 2026-01-16; OH 44084 | historical-2024-08-17-day-dream-farm-winery-justdeedeemusic-live-day-dream-farm-winery-43; Rock Creek,,Rock Creek,,9,0,9,Fri May 08 2026 00:58:22 GMT-0400 (Eastern Daylight Time),Winery,http://www.daydreamfarmwinery.com/,On cancellation list
Dean Martin's Lanning's Restaurant,826 N Cleveland Massillon Rd,Akron,44333,OH,dean-martin-s-lanning-s-restaurant-akron-oh-44333,-81.63628,41.158008,Not Contacted Yet,Tue Jun 10 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Dean,Dmartin@lannings-restaurant.com,330-666-1159,,,4,,,,,,,,1,2026-05-07T04:36:16.000Z,Restaurant,http://www.lannings-restaurant.com/,
Debonne Vineyards,7840 Doty Rd   Madison,OH  44057,,OH,debonne-vineyards-7840-doty-rd-madison-oh-44057,-81.004462,41.740368,Played in the Past,05/29/2024,Justin,,440-466-3485,,stop,3,,2024-08-21 | COMPLETED | JustDeeDeeMusic Live @ Debonné Vineyards | 7840 Doty Rd; 2025-03-22 3:30pm ET | COMPLETED | Debonne | na5c4s11mkbfoq5jvp94005qg0@google.com; 2025-05-04 2:30pm ET | COMPLETED | Debonne | i0uen1ctl02np4ppf6gb7aards@google.com; Madison; OH 44057 | historical-2024-08-21-debonne-vineyards-justdeedeemusic-live-debonne-vineyards-44,,Sun May 04 2025 00:00:00 GMT-0400 (Eastern Daylight Time),,3,,3,2026-05-08T02:35:41.539Z,Other Venue,https://www.debonne.com/,
Dillly D's Sports Grill,9750 Olde 8 Rd,Northfield,44067,OH,dillly-d-s-sports-grill-northfield-oh-44067,-81.537306,41.325195,Needs Review,,,,330-467-8869,,,,,,,,,,,,,Restaurant,,
Dilly D's Sports Grill,9750 Olde 8 Rd,Northfield,44067,OH,dilly-d-s-sports-grill-northfield-oh-44067,-81.537306,41.325195,Needs Review,Sat Feb 10 2024 00:00:00 GMT-0500 (Eastern Standard Time),,,330-467-8869,,Messenger,,,,,,,,,1,2026-05-07T04:36:16.000Z,Restaurant,,
Divine Restaurant 2752 Hudson Dr,Cuyahoga Falls,OH 44221,,OH,divine-restaurant-2752-hudson-dr-cuyahoga-falls-oh-44221,-81.473154,41.148178,Not Contacted Yet,Thu Jul 10 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Renee,,234-334-4400,,web,5,,,,,,,,,,Restaurant,http://thedivinerestaurant.com/,
Divot's Sports Bar 13393 York Rd,North Royalton,OH 44133,,OH,divot-s-sports-bar-13393-york-rd-north-royalton-oh-44133,-81.755931,41.317375,Not Contacted Yet,01/31/2024,Michelle,,440-237-3342,,,3,,,,,,,,,,Pub/Bar,,
Dockside Cafe,611 W Shoreline Dr,Sandusky,44870,OH,dockside-cafe-sandusky-oh-44870,-82.71735,41.456239,Needs Review,,,,,,,,,,,,,,,,,Coffee Shop,,
Dolce at the Strand,123 Broad,Wadsworth,44281,OH,dolce-at-the-strand-wadsworth-oh-44281,-81.728867,41.025395,Needs Review,5/20/2024,Originals only,,,,Call,5,,,,,,,,,,Other Venue,,
Domenic's Rose Ville Resturant,368 Portage Lakes Drive,Akron,44319,OH,domenic-s-rose-ville-resturant-akron-oh-44319,-81.533942,40.996783,Not Contacted Yet,Thu Jul 10 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Tammy and mark  left message for tammy,,330-644-5522,,Fb,3,,,,,,,,3,2026-05-07T04:36:16.000Z,Other Venue,,
Dominick's,147 Franklin Ave,Kent,44240,OH,dominick-s-kent-oh-44240,-81.358869,41.153062,Needs Review,,,,,,stop,5,,,,,,,,,,Other Venue,,
Don's Pomeroy House,13664 Pearl Rd,Strongsville,44136,OH,don-s-pomeroy-house-strongsville-oh-44136,-81.83524,41.315307,Played in the Past,Thu Jul 10 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Mitch,Mgrattan@strangcorp.com,440-572-1111,,,,,),,),,1,,1,,Other Venue,,
Doodle Drive In,350 E Steels Corners Rd,Cuyahoga Falls,44224,OH,doodle-drive-in-cuyahoga-falls-oh-44224,-81.495266,41.180983,Not Contacted Yet,01/28/2024,4 managers,,234-334-4236,,Stop/messen,4,,,,,,,,1,2026-05-07T04:36:16.000Z,Other Venue,http://www.doodledrivein.com/,
Downtown 140 140 N Main St,Hudson,OH 44236,,OH,downtown-140-140-n-main-st-hudson-oh-44236,-81.440511,41.241908,Needs Review,01/27/2024,,,330-655-2940,,,5,,,,,,,,,,Other Venue,https://www.downtown140.com/,
